date,country,apl-driving,apl-transit,apl-walking
2020-03-05,AUS,113.97,113.82,111.79
2020-03-06,AUS,113.49,112.67,126.09
2020-03-07,AUS,93.23,98.27,108.98
2020-03-08,AUS,91.21,97.56,89.81
2020-03-09,AUS,96.44,105.15,96.18
2020-03-10,AUS,99.94,107.82,100.4
2020-03-11,AUS,100.79,106.36,100.94
2020-03-12,AUS,102.79,101.22,102.38
2020-03-13,AUS,98.75,88.82,103.92
2020-03-14,AUS,78.16,70.96,84.71
2020-03-15,AUS,81.59,76.49,75.67
2020-03-16,AUS,80.52,70.68,71.19
2020-03-17,AUS,78.87,65.78,68.72
2020-03-18,AUS,79.24,62.19,66.9
2020-03-19,AUS,83.55,61.79,68.29
2020-03-20,AUS,78.17,57.33,72.02
2020-03-21,AUS,60.74,43.75,54.18
2020-03-22,AUS,66.41,40.71,50.99
2020-03-23,AUS,62.49,33.94,46.97
2020-03-24,AUS,60.19,30.31,45.55
2020-03-25,AUS,57.96,26.9,43.82
2020-03-26,AUS,59.9,26.44,45.57
2020-03-27,AUS,48.25,23.77,41.88
2020-03-28,AUS,36.69,19.57,32.84
2020-03-29,AUS,51.18,23.53,40.93
2020-03-30,AUS,51.92,22.58,42.68
2020-03-31,AUS,52.04,21.67,41.98
2020-04-01,AUS,51.54,21.05,39.17
2020-04-02,AUS,54.23,21.25,42.38
2020-04-03,AUS,41.58,18.75,35.83
2020-04-04,AUS,33.34,16.62,31.11
2020-04-05,AUS,51.75,21.76,42.02
2020-04-06,AUS,53.17,21.2,42.71
2020-04-07,AUS,55.01,20.73,43.05
2020-04-08,AUS,59.24,21.28,47.21
2020-04-09,AUS,33.19,16.63,34.06
2020-04-10,AUS,36.0,16.78,35.99
2020-04-11,AUS,26.95,13.94,31.33
2020-04-12,AUS,31.72,16.51,37.05
2020-04-13,AUS,53.14,21.67,45.74
2020-04-14,AUS,55.91,21.58,47.1
2020-04-15,AUS,56.56,21.98,46.3
2020-04-16,AUS,58.77,21.84,47.84
2020-04-17,AUS,47.51,20.13,45.82
2020-04-18,AUS,36.9,17.64,38.71
2020-04-19,AUS,53.34,21.93,43.3
2020-04-20,AUS,56.93,22.41,47.28
2020-04-21,AUS,58.06,22.71,47.66
2020-04-22,AUS,59.69,22.49,47.17
2020-04-23,AUS,62.87,23.78,51.03
2020-04-24,AUS,47.84,20.96,46.68
2020-04-25,AUS,41.89,19.06,39.3
2020-04-26,AUS,55.39,22.74,45.09
2020-04-27,AUS,59.09,23.8,46.07
alternative_name,AUT,Österreich,,Österreich
2020-01-13,AUT,100.0,,100.0
2020-01-14,AUT,101.14,,101.55
2020-01-15,AUT,104.24,,105.59
2020-01-16,AUT,112.21,,112.24
2020-01-17,AUT,117.23,,123.36
2020-01-18,AUT,117.22,,131.05
2020-01-19,AUT,105.17,,89.93
2020-01-20,AUT,100.7,,100.6
2020-01-21,AUT,102.67,,103.3
2020-01-22,AUT,104.33,,105.28
2020-01-23,AUT,107.89,,110.89
2020-01-24,AUT,123.67,,132.87
2020-01-25,AUT,119.39,,136.57
2020-01-26,AUT,105.55,,92.99
2020-01-27,AUT,104.42,,105.8
2020-01-28,AUT,106.42,,105.38
2020-01-29,AUT,106.1,,107.8
2020-01-30,AUT,108.47,,113.19
2020-01-31,AUT,125.62,,132.21
2020-02-01,AUT,134.87,,148.15
2020-02-02,AUT,109.33,,101.66
2020-02-03,AUT,109.04,,106.52
2020-02-04,AUT,107.88,,106.85
2020-02-05,AUT,110.15,,105.75
2020-02-06,AUT,107.4,,106.66
2020-02-07,AUT,127.94,,126.55
2020-02-08,AUT,146.79,,142.55
2020-02-09,AUT,116.74,,103.86
2020-02-10,AUT,109.94,,110.43
2020-02-11,AUT,112.72,,114.55
2020-02-12,AUT,113.59,,114.2
2020-02-13,AUT,116.37,,123.11
2020-02-14,AUT,145.47,,148.29
2020-02-15,AUT,158.95,,165.31
2020-02-16,AUT,120.22,,113.75
2020-02-17,AUT,113.56,,125.35
2020-02-18,AUT,113.49,,127.47
2020-02-19,AUT,117.98,,125.25
2020-02-20,AUT,117.11,,132.26
2020-02-21,AUT,142.35,,142.4
2020-02-22,AUT,156.99,,166.41
2020-02-23,AUT,114.15,,114.7
2020-02-24,AUT,111.17,,125.95
2020-02-25,AUT,109.0,,125.66
2020-02-26,AUT,108.98,,115.47
2020-02-27,AUT,113.71,,122.28
2020-02-28,AUT,138.1,,129.96
2020-02-29,AUT,130.25,,134.42
2020-03-01,AUT,106.13,,98.99
2020-03-02,AUT,103.21,,111.8
2020-03-03,AUT,104.24,,110.27
