date,country,isolation
2020-02-24,RU-KOS,2.9
2020-02-25,RU-KOS,0.9
2020-02-26,RU-KOS,0.9
2020-02-27,RU-KOS,0.9
2020-02-28,RU-KOS,0.8
2020-02-29,RU-KOS,2.4
2020-03-01,RU-KOS,2.7
2020-03-02,RU-KOS,1.0
2020-03-03,RU-KOS,0.8
2020-03-04,RU-KOS,0.8
2020-03-05,RU-KOS,0.8
2020-03-06,RU-KOS,0.8
2020-03-07,RU-KOS,2.2
2020-03-08,RU-KOS,2.8
2020-03-09,RU-KOS,2.8
2020-03-10,RU-KOS,1.0
2020-03-11,RU-KOS,0.8
2020-03-12,RU-KOS,0.8
2020-03-13,RU-KOS,0.9
2020-03-14,RU-KOS,2.3
2020-03-15,RU-KOS,3.0
2020-03-16,RU-KOS,0.8
2020-03-17,RU-KOS,0.8
2020-03-18,RU-KOS,0.8
2020-03-19,RU-KOS,0.9
2020-03-20,RU-KOS,0.9
2020-03-21,RU-KOS,2.5
2020-03-22,RU-KOS,3.0
2020-03-23,RU-KOS,1.1
2020-03-24,RU-KOS,1.1
2020-03-25,RU-KOS,1.1
2020-03-26,RU-KOS,1.1
2020-03-27,RU-KOS,1.1
2020-03-28,RU-KOS,2.9
2020-03-29,RU-KOS,3.6
2020-03-30,RU-KOS,3.1
2020-03-31,RU-KOS,3.3
2020-04-01,RU-KOS,3.6
2020-04-02,RU-KOS,3.6
2020-04-03,RU-KOS,3.5
2020-04-04,RU-KOS,3.9
2020-04-05,RU-KOS,4.1
2020-04-06,RU-KOS,3.1
2020-04-07,RU-KOS,3.0
2020-04-08,RU-KOS,2.9
2020-04-09,RU-KOS,2.8
2020-04-10,RU-KOS,2.9
2020-04-11,RU-KOS,3.5
2020-04-12,RU-KOS,3.8
2020-04-13,RU-KOS,2.7
2020-04-14,RU-KOS,2.7
2020-04-15,RU-KOS,2.8
2020-04-16,RU-KOS,2.8
2020-04-17,RU-KOS,2.8
2020-04-18,RU-KOS,3.6
2020-04-19,RU-KOS,3.8
2020-02-23,RU-KRS,2.7
2020-02-24,RU-KRS,2.8
2020-02-25,RU-KRS,0.8
2020-02-26,RU-KRS,0.8
2020-02-27,RU-KRS,0.8
2020-02-28,RU-KRS,0.8
2020-02-29,RU-KRS,2.1
2020-03-01,RU-KRS,2.6
2020-03-02,RU-KRS,0.8
2020-03-03,RU-KRS,0.7
2020-03-04,RU-KRS,0.7
2020-03-05,RU-KRS,0.6
2020-03-06,RU-KRS,0.6
2020-03-07,RU-KRS,1.9
2020-03-08,RU-KRS,2.5
2020-03-09,RU-KRS,2.7
2020-03-10,RU-KRS,0.6
2020-03-11,RU-KRS,0.6
2020-03-12,RU-KRS,0.7
2020-03-13,RU-KRS,0.7
2020-03-14,RU-KRS,2.1
2020-03-15,RU-KRS,3.0
2020-03-16,RU-KRS,0.9
2020-03-17,RU-KRS,0.7
2020-03-18,RU-KRS,0.7
2020-03-19,RU-KRS,1.1
2020-03-20,RU-KRS,1.1
2020-03-21,RU-KRS,2.4
2020-03-22,RU-KRS,3.0
2020-03-23,RU-KRS,1.3
2020-03-24,RU-KRS,1.3
2020-03-25,RU-KRS,1.2
2020-03-26,RU-KRS,1.2
2020-03-27,RU-KRS,1.2
2020-03-28,RU-KRS,2.8
2020-03-29,RU-KRS,3.4
2020-03-30,RU-KRS,2.8
2020-03-31,RU-KRS,3.2
2020-04-01,RU-KRS,3.4
2020-04-02,RU-KRS,3.4
2020-04-03,RU-KRS,3.2
2020-04-04,RU-KRS,3.7
2020-04-05,RU-KRS,3.9
2020-04-06,RU-KRS,3.0
2020-04-07,RU-KRS,2.9
2020-04-08,RU-KRS,2.8
2020-04-09,RU-KRS,2.7
2020-04-10,RU-KRS,2.8
2020-04-11,RU-KRS,3.3
2020-04-12,RU-KRS,3.7
2020-04-13,RU-KRS,2.5
2020-04-14,RU-KRS,2.6
2020-04-15,RU-KRS,2.7
2020-04-16,RU-KRS,2.8
2020-04-17,RU-KRS,2.7
2020-04-18,RU-KRS,3.5
2020-04-19,RU-KRS,3.9
2020-02-23,RU-LIP,2.9
2020-02-24,RU-LIP,3.0
2020-02-25,RU-LIP,1.0
2020-02-26,RU-LIP,0.9
2020-02-27,RU-LIP,0.9
2020-02-28,RU-LIP,1.0
