date,city,value
2020-03-16,Пермь,1.0
2020-03-17,Пермь,1.1
2020-03-18,Пермь,1.2
2020-03-19,Пермь,1.4
2020-03-20,Пермь,1.4
2020-03-21,Пермь,2.8
2020-03-22,Пермь,3.3
2020-03-23,Пермь,1.4
2020-03-24,Пермь,1.4
2020-03-25,Пермь,1.5
2020-03-26,Пермь,1.5
2020-03-27,Пермь,1.5
2020-03-28,Пермь,3.2
2020-03-29,Пермь,3.8
2020-03-30,Пермь,3.1
2020-03-31,Пермь,3.3
2020-04-01,Пермь,3.1
2020-04-02,Пермь,4.2
2020-04-03,Пермь,4.1
2020-04-04,Пермь,4.4
2020-04-05,Пермь,4.5
2020-04-06,Пермь,3.7
2020-03-02,Самара,1.0
2020-03-03,Самара,0.9
2020-03-04,Самара,0.9
2020-03-05,Самара,0.8
2020-03-06,Самара,0.9
2020-03-07,Самара,2.3
2020-03-08,Самара,2.8
2020-03-09,Самара,3.0
2020-03-10,Самара,0.9
2020-03-11,Самара,0.8
2020-03-12,Самара,0.9
2020-03-13,Самара,0.9
2020-03-14,Самара,2.4
2020-03-15,Самара,3.1
2020-03-16,Самара,1.1
2020-03-17,Самара,1.3
2020-03-18,Самара,1.3
2020-03-19,Самара,1.4
2020-03-20,Самара,1.5
2020-03-21,Самара,2.7
2020-03-22,Самара,3.4
2020-03-23,Самара,1.8
2020-03-24,Самара,1.7
2020-03-25,Самара,1.6
2020-03-26,Самара,1.6
2020-03-27,Самара,1.6
2020-03-28,Самара,3.1
2020-03-29,Самара,3.7
2020-03-30,Самара,3.0
2020-03-31,Самара,3.1
2020-04-01,Самара,3.6
2020-04-02,Самара,3.7
2020-04-03,Самара,3.5
2020-04-04,Самара,3.8
2020-04-05,Самара,4.1
2020-04-06,Самара,3.0
2020-03-02,Екатеринбург,0.7
2020-03-03,Екатеринбург,0.6
2020-03-04,Екатеринбург,0.6
2020-03-05,Екатеринбург,0.6
2020-03-06,Екатеринбург,0.6
2020-03-07,Екатеринбург,2.1
2020-03-08,Екатеринбург,2.6
2020-03-09,Екатеринбург,2.8
2020-03-10,Екатеринбург,0.7
2020-03-11,Екатеринбург,0.6
2020-03-12,Екатеринбург,0.6
2020-03-13,Екатеринбург,0.7
2020-03-14,Екатеринбург,2.1
2020-03-15,Екатеринбург,2.9
2020-03-16,Екатеринбург,0.7
2020-03-17,Екатеринбург,1.0
2020-03-18,Екатеринбург,1.0
2020-03-19,Екатеринбург,1.1
2020-03-20,Екатеринбург,1.1
2020-03-21,Екатеринбург,2.5
2020-03-22,Екатеринбург,3.1
2020-03-23,Екатеринбург,1.2
2020-03-24,Екатеринбург,1.2
2020-03-25,Екатеринбург,1.2
2020-03-26,Екатеринбург,1.2
2020-03-27,Екатеринбург,1.2
2020-03-28,Екатеринбург,3.1
2020-03-29,Екатеринбург,3.5
2020-03-30,Екатеринбург,2.8
2020-03-31,Екатеринбург,3.0
2020-04-01,Екатеринбург,3.2
2020-04-02,Екатеринбург,3.4
2020-04-03,Екатеринбург,3.2
2020-04-04,Екатеринбург,3.8
2020-04-05,Екатеринбург,3.8
2020-04-06,Екатеринбург,2.9
2020-03-02,Челябинск,1.0
2020-03-03,Челябинск,0.9
2020-03-04,Челябинск,0.9
2020-03-05,Челябинск,0.9
2020-03-06,Челябинск,0.9
2020-03-07,Челябинск,2.3
2020-03-08,Челябинск,2.8
2020-03-09,Челябинск,3.0
2020-03-10,Челябинск,1.0
2020-03-11,Челябинск,0.9
2020-03-12,Челябинск,0.9
2020-03-13,Челябинск,0.9
2020-03-14,Челябинск,2.4
2020-03-15,Челябинск,3.1
2020-03-16,Челябинск,1.0
2020-03-17,Челябинск,1.0
2020-03-18,Челябинск,1.0
2020-03-19,Челябинск,1.1
2020-03-20,Челябинск,1.1
2020-03-21,Челябинск,2.6
2020-03-22,Челябинск,3.1
2020-03-23,Челябинск,1.4
2020-03-24,Челябинск,1.4
2020-03-25,Челябинск,1.4
2020-03-26,Челябинск,1.5
2020-03-27,Челябинск,1.5
2020-03-28,Челябинск,3.2
2020-03-29,Челябинск,3.7
2020-03-30,Челябинск,3.0
2020-03-31,Челябинск,3.1
2020-04-01,Челябинск,3.5
2020-04-02,Челябинск,3.7
2020-04-03,Челябинск,3.5
2020-04-04,Челябинск,4.0
2020-04-05,Челябинск,4.1
2020-04-06,Челябинск,3.2
2020-03-02,Красноярск,1.0
2020-03-03,Красноярск,0.9
2020-03-04,Красноярск,0.9
2020-03-05,Красноярск,0.9
2020-03-06,Красноярск,0.9
2020-03-07,Красноярск,2.4
2020-03-08,Красноярск,2.9
2020-03-09,Красноярск,3.0
2020-03-10,Красноярск,1.0
2020-03-11,Красноярск,1.0
2020-03-12,Красноярск,1.0
2020-03-13,Красноярск,0.9
2020-03-14,Красноярск,2.2
2020-03-15,Красноярск,3.0
2020-03-16,Красноярск,1.0
2020-03-17,Красноярск,1.3
2020-03-18,Красноярск,1.3
2020-03-19,Красноярск,1.4
2020-03-20,Красноярск,1.4
2020-03-21,Красноярск,2.7
2020-03-22,Красноярск,3.1
2020-03-23,Красноярск,1.5
2020-03-24,Красноярск,1.5
2020-03-25,Красноярск,1.5
2020-03-26,Красноярск,1.5
2020-03-27,Красноярск,1.5
2020-03-28,Красноярск,3.2
2020-03-29,Красноярск,3.8
2020-03-30,Красноярск,3.0
2020-03-31,Красноярск,3.0
2020-04-01,Красноярск,3.2
2020-04-02,Красноярск,3.3
2020-04-03,Красноярск,3.4
2020-04-04,Красноярск,3.9
2020-04-05,Красноярск,4.1
2020-04-06,Красноярск,2.9
2020-03-02,Новосибирск,0.9
2020-03-03,Новосибирск,0.8
2020-03-04,Новосибирск,0.8
2020-03-05,Новосибирск,0.8
2020-03-06,Новосибирск,0.8
2020-03-07,Новосибирск,2.4
2020-03-08,Новосибирск,2.8
2020-03-09,Новосибирск,3.1
2020-03-10,Новосибирск,0.9
2020-03-11,Новосибирск,0.9
2020-03-12,Новосибирск,0.9
2020-03-13,Новосибирск,0.8
2020-03-14,Новосибирск,2.2
2020-03-15,Новосибирск,2.9
2020-03-16,Новосибирск,0.9
2020-03-17,Новосибирск,0.9
2020-03-18,Новосибирск,1.2
2020-03-19,Новосибирск,1.3
2020-03-20,Новосибирск,1.3
2020-03-21,Новосибирск,2.7
2020-03-22,Новосибирск,3.2
2020-03-23,Новосибирск,1.4
2020-03-24,Новосибирск,1.3
2020-03-25,Новосибирск,1.3
2020-03-26,Новосибирск,1.3
